CASE_NUMBER,Date Rptd,DATE OCC,TIME OCC,COD_AREA,Rpt Dist No,Part 1-2,Crm Cd,Vict Age,Vict Sex,Vict Descent,Premis Cd,Weapon Used Cd,Status,Status Desc,LOCATION,Cross Street,LAT,LON,Custom
201511176,6/12/2020,6/11/2020,2100,15,1545,1,510,0,,,707,-9,IC,Invest Cont,11900 WEDDINGTON ST,,34.1667,-118.3922,1190 WEDDI ST
201406301,2/6/2020,2/5/2020,1930,14,1454,1,330,67,F,W,104,500,IC,Invest Cont,12900 PANAMA ST,,33.9843,-118.4278,1290 PANAM ST
201312804,6/18/2020,6/17/2020,340,13,1345,2,740,77,M,H,122,-9,IC,Invest Cont,E 34TH ST,S CENTRAL AV,34.0128,-118.2565,E 3 ST ST
202106678,2/27/2020,2/16/2020,1900,21,2173,2,860,14,F,H,501,400,AO,Adult Other,23200 LEONORA DR,,34.1622,-118.6336,2320 D LEONO DR
202011097,6/13/2020,6/13/2020,1155,20,2004,2,624,54,X,X,502,400,AO,Adult Other,600 N HARVARD BL,,34.0799,-118.3068,600 HARVARD BL
202100629,3/9/2020,3/9/2020,1900,21,2105,1,210,30,M,H,502,210,AA,Adult Arrest,8300 NORTHGATE AV,,34.221,-118.604,8300AV NORTHGAV
201611103,7/15/2020,7/15/2020,900,16,1651,2,946,53,M,H,108,-9,AA,Adult Arrest,13000 MONTAGUE ST,,34.2442,-118.4159,1300 ST MONTA ST
201821960,12/11/2020,12/10/2020,2100,18,1802,1,510,0,,,101,-9,IC,Invest Cont,8600 S FIGUEROA ST,,33.9596,-118.2827,8600 FIGUER ST
201807620,3/4/2020,3/3/2020,800,18,1844,1,510,0,,,101,-9,IC,Invest Cont,113TH,TOWNE,33.932,-118.2673,113T3TH
201812366,6/10/2020,6/3/2020,1700,18,1831,1,510,0,,,101,-9,IC,Invest Cont,VERMONT,125TH ST,33.9176,-118.2915,VERMONT
210807650,2/23/2021,7/18/2020,1,8,814,1,121,18,F,W,101,400,IC,Invest Cont,CHURCH LN,MONTANA AV,34.0675,-118.4625,CHUR LN
201515099,9/10/2020,9/10/2020,1240,15,1535,1,480,33,M,B,108,-9,IC,Invest Cont,5900 N LANKERSHIM BL,,34.1775,-118.3822,5900 LANKER BL
211005965,3/6/2021,5/1/2020,800,10,1067,1,341,54,F,A,501,-9,IC,Invest Cont,5200 WHITE OAK AV,,34.1658,-118.5186,5200AV WHITE AV
202116680,12/6/2020,12/6/2020,325,21,2177,1,330,47,M,W,101,311,IC,Invest Cont,21600 BURBANK BL,,34.1733,-118.6002,2160 B BURBA BL
201821710,12/6/2020,12/6/2020,1820,18,1822,1,230,29,M,H,502,207,AO,Adult Other,100 W CENTURY BL,,33.9456,-118.2744,100 CENTURY BL
202116561,12/2/2020,11/13/2020,1822,21,2143,1,440,35,M,X,404,-9,IC,Invest Cont,6600 FALLBROOK AV,,34.1883,-118.6274,6600AV FALLBRAV
201404257,1/4/2020,1/4/2020,1720,14,1453,1,442,0,X,X,402,-9,IC,Invest Cont,13400 MAXELLA AV,,33.9906,-118.4391,1340 A MAXEL AV
202116553,12/1/2020,11/29/2020,1200,21,2156,1,330,21,F,H,108,-9,IC,Invest Cont,TOPANGA CANYON,VANOWEN,34.1938,-118.6059,TOPA CANYONYON
202117111,12/16/2020,12/15/2020,830,21,2111,2,956,39,M,O,501,-9,IC,Invest Cont,22900 BLYTHE ST,,34.2142,-118.6354,2290 BLYTH ST
230312288,6/1/2023,2/2/2020,315,3,391,2,354,56,M,B,502,-9,IC,Invest Cont,4200 SANTO TOMAS DR,,34.0103,-118.3456,4200 SANTO DR
202013989,8/29/2020,8/29/2020,500,20,2013,1,236,35,F,H,158,400,AO,Adult Other,OXFORD,3RD ST,34.069,-118.3079,OXFOORD
201810492,5/3/2020,5/3/2020,1,18,1802,1,230,43,M,B,101,312,IC,Invest Cont,W 93RD ST,S BROADWAY,33.9519,-118.2784,W 9 ST ST
202013574,8/17/2020,8/17/2020,1200,20,2036,2,745,0,X,X,502,-9,AO,Adult Other,700 S BERENDO ST,,34.0582,-118.2941,700 BERENDO ST
202000619,4/21/2020,4/18/2020,1700,20,2022,1,310,0,X,X,502,500,IC,Invest Cont,300 S GRAMERCY PL,,34.069,-118.3128,300 GRAMERC PL
201808250,3/16/2020,3/16/2020,900,18,1849,1,510,0,,,101,-9,IC,Invest Cont,2100 E 112TH ST,,33.9334,-118.2349,2100ST 112TH ST
201315570,8/16/2020,8/15/2020,1000,13,1395,1,420,0,,,101,-9,IC,Invest Cont,300 E 68TH ST,,33.9779,-118.2696,300 ST68TH ST
202012948,8/3/2020,8/3/2020,545,20,2024,1,761,64,F,H,102,205,AA,Adult Arrest,WILSHIRE BL,WESTERN AV,34.0617,-118.3091,WILSE BL
